y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
1.058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.894117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,21.83333333,32,11,12638,21.28571429,30.57142857,17.66666667,48.5,72.83333333,94,39,565.8333333,95.71428571,93,8901.428571,21541.45714,15700,6332.333333,1.704498904,1.203443884,0.501055019,0.293960306,3.257142857,5.6,0,0,135.75,135.75,50,39.75,10,13,35,0,4.5,10.90293255,3,2.125,2.407730938,0.55,10742.3,8923.003221,2510.145818,220
,19.57142857,32,8,10040,20.57142857,26,18.71428571,76.28571429,86.85714286,97,57,594.2857143,100,89,8900,21538,12000,4840,2.145219124,1.66314741,0.482071713,0.224719101,3.157142857,5.6,0,0,21.25,157,53,35.75,15.5,12.25,35,0,10.75,26.04589443,1,1.125,3.55782375,0.985416667,8534,7901.338928,4134.198194,220
,16.25,31,8,11110.75,19.5,25.75,17.25,64.25,81.5,97,60,747.5,100,101.5,10150,24563,16333.33333,6587.777778,2.210741849,1.617822579,0.59291927,0.268199234,3.1,5.6,0,0,36.25,193.25,52.5,32.75,18.5,13,39,0,11.25,27.25733138,1,1.25,3.853391651,0.825,9444.1375,8834.647641,3910.579047,220
,12.83333333,25,2,9341.5,17.83333333,23.16666667,15.5,61.33333333,81.66666667,97,43,640,100,102.6666667,10266.66667,24845.33333,18550,7481.833333,2.659672786,1.858748595,0.800924191,0.301136364,3.033333333,5.6,0,0,28.25,221.5,46.75,31.5,17.75,11.25,29.25,0,14.5,35.13167155,0.25,0.1875,3.166586401,1.012698413,7940.275,7192.671703,4059.291009,220
,15.42857143,26,4,7651,18.71428571,24.28571429,16.42857143,73.14285714,86.57142857,97,48,680,100,75,7500,18150,12002,4840.806667,2.372238923,1.739536444,0.632702479,0.266711111,3,5.6,5.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6503.35,0,0,220
,12,22,1,9483.6,17.4,23,15,59.5,81.6,95,51,724,100,102.2,10220,24732.4,20160,8131.2,2.607912607,1.750516681,0.857395926,0.328767123,2.88,5.6,4.716666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8061.06,0,0,220
0.21318328,10.42857143,19,1,6584,17.14285714,22.14285714,15.71428571,65,83.71428571,98,57,725.7142857,100,83,8300,20086,19400,7824.666667,3.05072904,1.862292426,1.188436614,0.389558233,2.8,5.6,4.622857143,0,24.5,24.5,44.5,33.5,11.5,11.5,7.5,0,23.25,56.33181818,9,8,2.076842078,0.990277778,5596.4,4351.093868,5781.558616,230
0.64823151,7.571428571,15,1,6823,16.71428571,22,15,69.42857143,86.42857143,96,58,740,97.85714286,77,7535,18234.7,17500,7058.333333,2.672534076,1.638042894,1.034491182,0.387082504,2.771428571,5.6,3.842857143,0,24.5,49,48.75,43,16,11.75,22.25,0,22.5,54.51466276,1.495,1.165,4.063159531,0.821819914,5799.55,5453.549836,5357.579912,230
0.73215434,7.285714286,17,1,5753,16.85714286,22.71428571,15,68.42857143,84.57142857,96,64,764.2857143,86.42857143,69,5963.571429,14431.84286,7500,3025,2.508576892,1.982764272,0.52581262,0.209605941,2.6,5.6,4.114285714,0,24.5,73.5,48.75,43,16,11.75,22.25,0,22.5,54.51466276,0,0,4.063159531,0.821819914,4890.05,4598.310451,5445.409091,230
0.72282958,10.57142857,17,2,5199,16.57142857,21.42857143,15,77.14285714,89,96,65,788.5714286,85.71428571,49,4200,10164,7702,3106.473333,1.954991344,1.35747772,0.597513624,0.305634921,2.571428571,5.6,4.064,0,21.5,95,47.5,39,19,11.5,34.5,0,20.75,50.27463343,0.4175,0.8325,4.263955205,0.728904162,4419.15,4172.054013,4918.676305,230
0.4585209,3,13,-5,4121,15.85714286,20.57142857,15,81.42857143,88.85714286,95,79,775.7142857,90,37,3330,8058.6,2953,1191.043333,1.955496239,1.666478201,0.289018038,0.147797798,2.5,5.6,4.325,0,25.5,120.5,45.75,38,16.25,11.25,31,0,21.5,52.09178886,0.75,0.2525,3.422385099,0.553054662,3502.85,3222.72014,3787.194194,180
0.39196141,1.285714286,6,-6,4277.97,16,21.71428571,15,81.57142857,89.28571429,95,74,631.4285714,82.85714286,46,3811.428571,9223.657143,5103,2058.21,2.156082708,1.674964327,0.481118381,0.223144678,2.5,5.6,3.625,0,10.5,131,46.25,39.5,17.25,10.75,40,0,21.5,52.09178886,0.585,0,3.81767319,0.526638089,3636.2745,3398.084118,3856.05227,180
0.5244373,-0.571428571,9,-13,4229,15.85714286,21.42857143,15,80.85714286,88.71428571,95,74,601.4285714,100,32,3200,7744,2043,824.01,1.83116576,1.636318279,0.194847482,0.10640625,2.7,5.6,3.3,0,18,149,40.75,37.5,20.75,10.75,20.75,0,22.75,55.12038123,0.165,0.75,3.841296211,0.549848943,3594.65,3361.505007,3967.092581,180
0.53022508,0.285714286,10,-6,4464,16.14285714,22.71428571,15,78.14285714,88.57142857,96,74,610,100,39,3900,9438,4420,1782.733333,2.114247312,1.714889486,0.399357826,0.188888889,2.7,5.6,3.528571429,0,19.25,168.25,45.5,42,18.25,10.25,18.25,0,21.75,52.69750733,0.6675,0.75,4.224977221,0.498853211,3794.4,3579.657369,3962.198375,180
0.21318328,0.142857143,10,-11,5225,15.85714286,21.85714286,14.28571429,82.85714286,89.14285714,95,78,594.2857143,100,40,4000,9680,4241,1710.536667,1.852631579,1.52525614,0.327375439,0.176708333,2.828571429,5.6,3.816666667,0,19.75,188,44.5,37.5,17.75,9,26.5,0,22.25,53.90894428,0.915,0.665,3.588314104,0.476956056,4441.25,4117.224637,3895.133226,180
0.179421222,1.142857143,12,-6,6442,16.42857143,23.28571429,14,79.71428571,88.71428571,96,74,577.1428571,100,50,5000,12100,8100,3267,1.878298665,1.371158025,0.50714064,0.27,2.8,5.6,4.1,0,19.5,207.5,41.5,37.5,18.75,10,24,0,22,53.30322581,0.6675,0.835,3.534935163,0.475134982,5475.7,5064.754178,4328.51268,190
0.257234727,1.428571429,8,-6,5111,16,22.28571429,14.28571429,82.14285714,89.28571429,95,76,591.4285714,100,42,4200,10164,6682,2695.073333,1.988651927,1.461343507,0.52730842,0.26515873,2.8,5.6,4.28,0,21.5,229,40.25,41,16.75,10.5,25.25,0,19.75,47.85175953,0.75,1.3325,3.34861616,0.405785347,4344.35,3981.118098,3760.397208,190
0.30192926,2.714285714,9,-6,5015,16.71428571,23.28571429,15,81.71428571,89.71428571,96,73,588.5714286,100,52,5200,12584,14041,5663.203333,2.509272183,1.380019276,1.129252908,0.450032051,2.671428571,5.6,4.466666667,0,26.25,255.25,37,30.25,17.75,11,15.25,0,20.75,50.27463343,0.9175,0.995,2.406723931,0.402378036,4262.75,3540.219353,4264.63361,190
0.297106109,1.285714286,14,-6,4714,16.57142857,22.71428571,15,79.85714286,88.85714286,96,72,570,95.14285714,47,4471.714286,10821.54857,9591,3868.37,2.295619128,1.475006061,0.820613067,0.357469171,2.7,5.6,4.35,0,23.84375,279.09375,37.25,33.5,16.25,11.25,41,0,21.75,52.69750733,0.7525,0.4175,2.456548062,0.4031904,4006.9,3355.001802,4360.446158,190
0.60096463,1.142857143,7,-8,6040,16.71428571,24.28571429,15.14285714,77,88,94,71,570,100,57,5700,13794,11450,4618.166667,2.283774834,1.519177704,0.76459713,0.334795322,2.7,5.6,4.314285714,0,21.5,300.59375,37,38,14.5,11,26.75,0,20.25,49.06319648,0.5,1.1675,2.46975651,0.364709228,5134,4307.736012,4180.390284,190
0.465916399,0.428571429,11,-10,7646,17.57142857,24,16,76.28571429,87.28571429,95,69,545.7142857,88.57142857,65,5757.142857,13932.28571,11300,4557.666667,1.822166586,1.226081487,0.596085099,0.327129859,2.7,5.6,4.085714286,0,23.25,323.84375,38.5,37.5,13.25,10.75,22.75,0,20.25,49.06319648,0.495,0.25,2.317441028,0.354722722,6499.1,5313.321775,4591.576214,190
0.190353698,6,14,-4,2521,16.28571429,20.42857143,15.71428571,80.71428571,90.42857143,96,60,540,90,31,2790,6751.8,4105,1655.683333,2.678222927,2.021466349,0.656756578,0.245221027,2.7,5.6,4.6,0,26.75,350.59375,39.75,38.75,15.75,9.75,27.75,0,21.75,52.69750733,0.92,0.8325,2.938936577,0.362547704,2142.85,1905.153164,4215.097953,190
0.74244373,4.428571429,12,-5,7763,16.42857143,21.85714286,16,68.14285714,85.42857143,94,62,495.7142857,87.57142857,70,6130,14834.6,11551,4658.903333,1.910936494,1.310794366,0.600142127,0.314056552,2.642857143,5.6,5.171428571,0,30,380.59375,39.5,38,15.75,9,27.5,0,22.5,54.51466276,0.2475,-0.08,2.863927808,0.370226033,6598.55,5823.649293,4409.99393,190
